,Description,Stars,Reviews,Price,Amazon prime,Best seller
0,KEXIN 16GB Memoria USB 3.0 Pendrive Flash USB Stick 2 Piezas 16GB Memoria Flash Drive 3.0 para PC Laptop Tableta Mac(Negro Azul),"4,3",1.436,"12,99",Yes,No
1,"Pendrives 16 GB 5 Piezas Memorias USB 3.0, Portátil Pen Drive 16GB Flash Drives para Almacenamiento de Datos, Kepmem Alta Velocidad USB3.0 Memoria Externo Stick, Multicolor","4,0",74,"25,99",Yes,No
2,Memoria USB 16GB Pen Drive Joyas 16 GB USB 3.0 Pendrive Cristal Bling Diamante de Imitación Flash Drives Collar Azul Memorias Externo Stick con Portátil Llavero Regalo Almacenamiento por Kepmem,"4,4",223,"13,33",Yes,No
3,"Memorias USB 16GB 2.0 Pendrives 5 Piezas KOOTION Flash Drive 16 Giga Pen Drives Memory USB Stick Pack 5 Unidades Pen USB, Negro, Blanco, Rojo, Amarillo, Púrpura","4,5",685,"18,99",Yes,No
4,"SanDisk Memoria Flash Ultra USB 3.0 de 16 GB, hasta 130 MB/s velocidad de lectura","4,5",80.465,"4,99",Yes,No
5,KEXIN 16GB USB Pendrive 5 Piezas Memoria Flash USB Drive 3.0 Pen Drive Retráctil 16GB para Computadoras PC Windows Mac OS,"4,3",542,"25,99",Yes,No
6,"Kingston DataTraveler SE9 - DTSE9H/16GB-3P (3 piezas) Memoria USB, 16 GB, color plata","4,5",17.229,"18,99",Yes,No
7,"Kingston DTSE9G2 DataTraveler SE9 G2 - Memoria 16GB USB 3.0, Plateado","4,4",16.777,"27,80",Yes,No
8,SanDisk Cruzer Blade - Memoria USB de 2.0 de 16 GB,"4,5",103.454,"3,92",Yes,No
9,"Toshiba TransMemory U301 - Memoria USB de 16 GB, color blanco","4,6",7.481,"7,95",Yes,No
10,Memoria USB 16GB Pendrive 10 Piezas - Práctico Pen Drive 16 GB Económico 10 Unidades Portátil Flash Drives - Giratorio Llave USB 2.0 Almacenamiento de Datos Multicolor con Cuerdas by FEBNISCTE,"4,4",1.431,"39,56",Yes,No
11,PNY Attaché 4 - Memoria USB 3.0 de 16 GB,"4,6",79,"7,31",Yes,No
12,"Kingston DTIG4/16GB Pendrive, 16 Gb, Blanco","4,5",6.313,"3,80",Yes,No
13,USB 16GB Pendrive 5 Piezas Memorias USB 2.0 - Giratoria Pen Drive 16 GB Económico 5 Unidades Práctica Unidad Flash USB - FEBNISCTE Multicolor Kit de Llaves USB 2.0 Regalo para Fotógrafo con Cuerdas,"4,4",945,"21,99",Yes,No
14,SunData Memorias USB 3 Piezas 16GB PenDrives 16GB Unidad Flash USB2.0 Pen Drive con Luz LED (3 Colores: Azul Verde Rojo),"4,5",1.615,"12,99",Yes,No
15,Memoria flash USB SanDisk Ultra Dual m3.0 de 32 GB con USB 3.0 y hasta 150 MB/s,"4,5",3.749,"6,99",Yes,No
16,5 Piezas DataOcean 16GB Memorias USB 2.0 PenDrives Giratoria Pen Drive 16 GB Unidad Flash(5 Colores Mezclados: Negro Rojo Verde Morado Plata),"4,2",2.279,"17,99",Yes,No
