,Description,Stars,Reviews,Price,Amazon prime,Best seller
0,"Mascarilla Higienica WottoCare, 50 uds/caja, 3 Capas/BFE ≥ 95% Mascarilla Facial de Filtración Material Filtro y non-woven, Mascara Certificada/Homologada","4,1",1.229,"13,20",Yes,Yes
1,Caja de 20 ud Mascarilla ffp2 de colores con marcado CE según Norma Europea EN 149:2001+A1:2009 (20 ud Rosa),,,"29,80",No,No
2,"Mascarilla FFP2 CE 0598 WottoCare, Mascarilla de Protección Personal. 5 capas. Mascara KN95 Alta Eficiencia Filtración, Caja 20 Unidades CE 0598 + Normativa GB2626-2006","4,3",689,"34,90",Yes,Yes
3,Facemask Scarf 2020top Maska Mascarilla desechable Denta Industrial 3ply Ear Loop Masque 200pcs,,,"27,00",No,No
4,"Mascarilla Higienica WottoCare, 50 uds/caja, 3 Capas/BFE ≥ 95% Mascarilla Facial de Filtración Material Filtro y non-woven, Mascara Certificada/Homologada","4,1",1.229,"13,20",Yes,Yes
5,Se Envía Desde España 50 Unidades Protección Facial Deshechable,"4,3",1.651,"10,49",Yes,No
6,Mascarilla FFP2. Mascarilla ultra protección. 5 capas. Homologada. Caja 25 Unidades. Certificado CE 2163 + Llavero de gel hidroalcohólico,"4,7",9,"6,80",Yes,No
7,"Mascarilla FFP2 CE 0598 WottoCare, Mascarilla de Protección Personal. 5 capas. Mascara KN95 Alta Eficiencia Filtración, Caja 20 Unidades CE 0598 + Normativa GB2626-2006","4,3",689,"34,90",Yes,Yes
8,Homedics Mascarillas Médicas Desechables – Pack 50 unidades - 3 Capas Transpirables con Elástico para Los Oídos – Mascarillas IIR homologadas CE,"3,9",225,"19,99",Yes,No
9,Pack de 3 Mascarillas Homologadas de Tela Reutilizable Negras,"4,6",1.084,"19,99",Yes,Yes
10,"3Pcs Negro 𝐌𝐚𝐬𝐜𝐚𝐫𝐢𝐥𝐥𝐚𝐬 reutilizable con 【10 Pcs】 Filtros de Carbón Activado,Fashion Protective,Usable en Interiores y Exteriores Unisex Dust Cotton,Lavable","4,0",34,"13,99",Yes,No
11,Abbacino Mascarilla unisex de adulto lavable en negro,"3,8",124,"12,95",Yes,No
12,Biodefence - Mascarilla Pro1 FFP2 Fabricada y Homologada en Europa CE 0161 Caja de 20 unidades embolsadas individualmente en bolsa de PE,"4,3",20,"32,00",Yes,No
13,"Fanola, Mascarilla para el pelo - 1 unidad","4,5",2.778,"9,99",Yes,Yes
14,"5 protectores a la moda ΜαscariΙΙas, 𝐌𝐚𝐬𝐜𝐡𝐞𝐫𝐞 lavables y reutilizables, de algodón, transpirables, para exteriores, unisex, 10 filtros de carbón activado reemplazables","4,4",696,"15,99",Yes,No
15,"Mascarillas Higiénicas Desechables de Un Sólo Uso, 3 capas (Negro)","4,4",267,"19,99",Yes,No
16,"MaNMaNing Protección 3 Capas con Elástico Pack 50 Unidades 20200723-MANING-NM50 (50, Negro Adulto)","3,9",396,"7,50",Yes,No
17,Make My Day mask,"4,8",501,"6,49",Yes,No
18,Blue-Chub Paquete de 50 Piezas Desechable_Mascarilla de 3 Capas Envuelta Individualmente con Ganchos Elásticos y Alambre Nasal Ajustable,"3,2",14,"5,84",Yes,No
19,"Blue-Chub 50 Piezas por Paquete, Desechable_Mascarilla de 3 Capas Envuelta Individualmente con Ganchos Elásticos y Alambre Nasal Ajustable, Hecho de Tela no Tejida y Paño Fundido","3,2",7,"4,00",Yes,No
20,"Pantene Pro-V Superalimento Fuerza&Cuerpo, Mascarilla Capilar de Queratina para Pelo Dañado y Frágil, 300 ml","4,6",292,"3,50",Yes,No
21,Garnier Original Remedies Oliva Mítica mascarilla capilar pelo seco - 300 ml,"4,5",375,"2,99",Yes,No
22,"Creek medical Mascarilla Quirúrgica Médica Tipo I de 3 Capas, Verificada y Probada por CE, No Estéril (Paquete de 50 Máscaras)","4,2",5.041,"31,00",Yes,No
23,"Garnier Fructis Nutri Rizos Contouring Mascarilla Intensiva Fortificante que Nutre y Define, con Pectina de Fruta y Aceite de Pistacho - 300 ml","4,5",353,"3,90",Yes,No
